match_number,date,home_team,away_team,stadium,result,season,time,home_result,away_result,winner,home_sets_won,away_sets_won,number_of_sets,home_game_won,away_game_won,home_sets_lost,away_sets_lost
137758,04-02-24,Frederiksberg Volley,Farum-Holte,Bülowsvejhallen                ,3 - 2,2023-2024,14:00,3,2,Frederiksberg Volley,3,2,5,1,0,2,3
137759,06-02-24,Team Køge,Amager VK.2,Spar Nord Arena                ,3 - 2,2023-2024,19:15,3,2,Team Køge,3,2,5,1,0,2,3
137756,07-02-24,VLI,Gentofte Volley.2,Kedelhallen                ,3 - 2,2023-2024,20:30,3,2,VLI,3,2,5,1,0,2,3
137760,10-02-24,Hvidovre VK,DTU Volley,Frihedens Idrætscenter                ,3 - 0,2023-2024,18:00,3,0,Hvidovre VK,3,0,3,1,0,0,3
137757,11-02-24,Grøndal EV,RS Rødovre,Hillerødgades Sportssal                ,3 - 1,2023-2024,16:00,3,1,Grøndal EV,3,1,4,1,0,1,3
137763,20-02-24,Farum-Holte,Grøndal EV,Ny Holtehal                ,2 - 3,2023-2024,18:30,2,3,Grøndal EV,2,3,5,0,1,3,2
137765,22-02-24,Amager VK.2,Hvidovre VK,Sundbyhal                 ,1 - 3,2023-2024,20:00,1,3,Hvidovre VK,1,3,4,0,1,3,1
137762,25-02-24,VLI,DTU Volley,Kedelhallen                ,3 - 2,2023-2024,11:30,3,2,VLI,3,2,5,1,0,2,3
137761,27-02-24,Gentofte Volley.2,Team Køge,Kildeskovshal                 ,3 - 0,2023-2024,18:30,3,0,Gentofte Volley.2,3,0,3,1,0,0,3
137767,05-03-24,Team Køge,VLI,Spar Nord Arena                ,0 - 3,2023-2024,19:15,0,3,VLI,0,3,3,0,1,3,0
137769,06-03-24,RS Rødovre,Farum-Holte,Rødovrehallen                4 - Hal 2 (LB),2 - 3,2023-2024,20:00,2,3,Farum-Holte,2,3,5,0,1,3,2
137768,09-03-24,DTU Volley,Grøndal EV,Engelsborghallen                ,3 - 1,2023-2024,14:30,3,1,DTU Volley,3,1,4,1,0,1,3
137766,09-03-24,Hvidovre VK,Gentofte Volley.2,Frihedens Idrætscenter                ,3 - 0,2023-2024,16:00,3,0,Hvidovre VK,3,0,3,1,0,0,3
137770,10-03-24,Frederiksberg Volley,Amager VK.2,Bülowsvejhallen                ,3 - 1,2023-2024,12:00,3,1,Frederiksberg Volley,3,1,4,1,0,1,3
137771,13-03-24,Gentofte Volley.2,Frederiksberg Volley,Byens Hus                ,3 - 2,2023-2024,20:30,3,2,Gentofte Volley.2,3,2,5,1,0,2,3
137775,16-03-24,Amager VK.2,RS Rødovre,Sundbyhal                 ,3 - 0,2023-2024,14:00,3,0,Amager VK.2,3,0,3,1,0,0,3
137772,17-03-24,VLI,Hvidovre VK,Kedelhallen                ,1 - 3,2023-2024,11:30,1,3,Hvidovre VK,1,3,4,0,1,3,1
137773,17-03-24,Grøndal EV,Team Køge,Hillerødgades Sportssal                ,3 - 0,2023-2024,12:00,3,0,Grøndal EV,3,0,3,1,0,0,3
137774,17-03-24,Farum-Holte,DTU Volley,Ny Holtehal                ,3 - 2,2023-2024,16:00,3,2,Farum-Holte,3,2,5,1,0,2,3
137781,20-03-24,Gentofte Volley.2,RS Rødovre,Byens Hus                ,3 - 1,2023-2024,18:45,3,1,Gentofte Volley.2,3,1,4,1,0,1,3
